지점,지점명,일시,합계 일사량(MJ/m2)
105,강릉,2024-01,275.84
105,강릉,2024-02,204.83
105,강릉,2024-03,440.45
105,강릉,2024-04,504.13
105,강릉,2024-05,649.98
105,강릉,2024-06,618.53
105,강릉,2024-07,472.88
105,강릉,2024-08,565.58
105,강릉,2024-09,343.86
105,강릉,2024-10,300.64
105,강릉,2024-11,247.54
105,강릉,2024-12,273.21
108,서울,2024-01,279.71
108,서울,2024-02,259.99
108,서울,2024-03,438.18
108,서울,2024-04,558.15
108,서울,2024-05,686.87
108,서울,2024-06,714.52
108,서울,2024-07,402.43
108,서울,2024-08,507.93
108,서울,2024-09,439.21
108,서울,2024-10,367.11
108,서울,2024-11,293.01
108,서울,2024-12,288.48
112,인천,2024-01,271.29
112,인천,2024-02,279.37
112,인천,2024-03,492.39
112,인천,2024-04,561.21
112,인천,2024-05,675.22
112,인천,2024-06,741.25
112,인천,2024-07,455.02
112,인천,2024-08,618.19
112,인천,2024-09,459.97
112,인천,2024-10,374.1
112,인천,2024-11,288.86
112,인천,2024-12,275.55
119,수원,2024-01,265.75
119,수원,2024-02,245.95
119,수원,2024-03,472.32
119,수원,2024-04,551.23
119,수원,2024-05,680.16
119,수원,2024-06,712.7
119,수원,2024-07,439.49
119,수원,2024-08,581.56
119,수원,2024-09,455.02
119,수원,2024-10,363.49
119,수원,2024-11,290.06
119,수원,2024-12,271.6
127,충주,2024-01,238.45
127,충주,2024-02,235.03
127,충주,2024-03,430.61
127,충주,2024-04,528.64
127,충주,2024-05,708.06
127,충주,2024-06,682.89
127,충주,2024-07,465.56
127,충주,2024-08,605.88
127,충주,2024-09,460.15
127,충주,2024-10,335.21
127,충주,2024-11,274.27
127,충주,2024-12,255.75
133,대전,2024-01,258.56
133,대전,2024-02,257.65
133,대전,2024-03,475.82
133,대전,2024-04,540.2
133,대전,2024-05,720.64
133,대전,2024-06,697.02
133,대전,2024-07,460.51
133,대전,2024-08,612.88
133,대전,2024-09,485.82
133,대전,2024-10,340.01
133,대전,2024-11,308.4
133,대전,2024-12,265.25
136,안동,2024-01,304.35
136,안동,2024-02,255.71
136,안동,2024-03,457.57
136,안동,2024-04,542.49
136,안동,2024-05,719.62
136,안동,2024-06,686.71
136,안동,2024-07,535.42
136,안동,2024-08,637.23
136,안동,2024-09,478.28
136,안동,2024-10,330.36
136,안동,2024-11,293.83
136,안동,2024-12,309.88
143,대구,2024-01,311.95
143,대구,2024-02,258.08
143,대구,2024-03,469.72
143,대구,2024-04,511.52
143,대구,2024-05,723.92
143,대구,2024-06,644.38
143,대구,2024-07,515.32
143,대구,2024-08,634.38
143,대구,2024-09,454.92
143,대구,2024-10,347.7
143,대구,2024-11,292.79
143,대구,2024-12,304.49
146,전주,2024-01,260.14
146,전주,2024-02,248.51
146,전주,2024-03,449.55
146,전주,2024-04,496.14
146,전주,2024-05,686.79
146,전주,2024-06,624.13
146,전주,2024-07,474.42
146,전주,2024-08,583.89
146,전주,2024-09,452.46
146,전주,2024-10,343.17
146,전주,2024-11,278.32
146,전주,2024-12,235.12
152,울산,2024-01,309.49
152,울산,2024-02,247.49
152,울산,2024-03,481.87
152,울산,2024-04,499
152,울산,2024-05,711.7
152,울산,2024-06,599.66
152,울산,2024-07,564.56
152,울산,2024-08,654.79
152,울산,2024-09,453.19
152,울산,2024-10,316.49
152,울산,2024-11,289.55
152,울산,2024-12,329.81
156,광주,2024-01,294.22
156,광주,2024-02,277.48
156,광주,2024-03,472.09
156,광주,2024-04,501.88
156,광주,2024-05,707.88
156,광주,2024-06,629.59
156,광주,2024-07,451.46
156,광주,2024-08,626.66
156,광주,2024-09,479.05
156,광주,2024-10,387.53
156,광주,2024-11,312.84
156,광주,2024-12,273.77
159,부산,2024-01,342.85
159,부산,2024-02,278.68
159,부산,2024-03,507.97
159,부산,2024-04,527.18
159,부산,2024-05,743.56
159,부산,2024-06,594.02
159,부산,2024-07,546.79
159,부산,2024-08,707.85
159,부산,2024-09,516.15
159,부산,2024-10,355.89
159,부산,2024-11,322.67
159,부산,2024-12,347.86
168,여수,2024-01,320.5
168,여수,2024-02,285.87
168,여수,2024-03,497.12
168,여수,2024-04,486.56
168,여수,2024-05,722.77
168,여수,2024-06,581.78
168,여수,2024-07,523.86
168,여수,2024-08,704.43
168,여수,2024-09,522.19
168,여수,2024-10,401.52
168,여수,2024-11,321.17
168,여수,2024-12,327.78
184,제주,2024-01,176.86
184,제주,2024-02,152.32
184,제주,2024-03,409.42
184,제주,2024-04,417.26
184,제주,2024-05,677.83
184,제주,2024-06,477.43
184,제주,2024-07,554.79
184,제주,2024-08,632.4
184,제주,2024-09,442.14
184,제주,2024-10,262.58
184,제주,2024-11,237.93
184,제주,2024-12,169.61
192,진주,2024-01,330.49
192,진주,2024-02,282.13
192,진주,2024-03,485.03
192,진주,2024-04,477.73
192,진주,2024-05,729.93
192,진주,2024-06,615.51
192,진주,2024-07,510.84
192,진주,2024-08,672.37
192,진주,2024-09,480.33
192,진주,2024-10,373.15
192,진주,2024-11,308.49
192,진주,2024-12,323.57
235,보령,2024-03,390.15
235,보령,2024-04,515.68
235,보령,2024-05,685.37
235,보령,2024-06,675.72
235,보령,2024-07,469.05
235,보령,2024-08,632.79
235,보령,2024-09,491.71
235,보령,2024-10,337.34
235,보령,2024-11,295.69
235,보령,2024-12,226.64
239,세종,2024-01,257.04
239,세종,2024-02,250.71
239,세종,2024-03,462.96
239,세종,2024-04,521.87
239,세종,2024-05,704.92
239,세종,2024-06,679.58
239,세종,2024-07,474.31
239,세종,2024-08,607.05
239,세종,2024-09,480.1
239,세종,2024-10,314.76
239,세종,2024-11,292.93
239,세종,2024-12,261.6
